Year, Low physical activity, Non-exclusive breastfeeding, Air pollution, Child wasting, High systolic blood pressure, High fasting plasma glucose, Child stunting, High body-mass index, Secondhand smoke, Unsafe sanitation, Unsafe water source, Diet low in vegetables, Diet low in fruits, Diet high in sodium, Drug use, Household air pollution from solid fuels, High LDL cholesterol, Iron deficiency, Zinc deficiency, Smoking, Vitamin A deficiency, Ambient particulate matter pollution
1990-01-01,0.014010792743054775,0.0003868956333011165,0.04540366927421941,0.0022754027016825603,0.17238149530536567,0.11317065879438323,6.543641925162097e-05,0.12920705410856487,0.02296383886974218,0.0005004265329942671,0.0004889243564404691,0.008317722320740458,0.01752642308851087,0.01164334903170823,0.037445361211656696,0.00016975038698260198,0.12146948655208396,0.0031183093437376513,1.4313197006617397e-06,0.2568488908075824,1.0754439214039573e-05,0.04259392675908222
1991-01-01,0.01446330489446051,0.0003783354295536788,0.04529609607807463,0.002314968393104656,0.17255787087682053,0.11004507495341387,6.30175709139478e-05,0.13173017299249853,0.022935597896175938,0.000504149148160909,0.0004993841652218377,0.008187457491067033,0.01736349840404774,0.011749739261519569,0.0398762107798284,0.00016478234004231758,0.11841590650037061,0.0031456352736784657,1.368645467584016e-06,0.25779437834360336,1.0771204387247684e-05,0.04250227935758859
1992-01-01,0.014988547776415244,0.00036367550391461684,0.04515379961448887,0.0023431403179340095,0.17256355424671477,0.10751563320402649,5.942551481152852e-05,0.13432943704134892,0.02286400916062724,0.0004982158209660172,0.0005039972373880254,0.008060596410695321,0.017192370363505644,0.01189707358862102,0.04244781523821783,0.0001594525334889179,0.11511334683252442,0.0031627883926402633,1.3015408292239531e-06,0.2584654513618851,1.0817665792530213e-05,0.042305550633164275
1993-01-01,0.015561259898290427,0.00034982415228826294,0.045083447726414046,0.0023590413405239967,0.17278197716770363,0.10568454759348642,5.606238772460556e-05,0.1366104169897293,0.022775617705386855,0.0004836165539364664,0.0004985878830202018,0.008011849705130998,0.01705388253643704,0.01210757419689145,0.044448599745068304,0.00015557168579144093,0.11245121932572676,0.0031087101597415527,1.2018659124274902e-06,0.2582587934526496,1.0621158019752928e-05,0.04214757677012639
1994-01-01,0.015996283313251307,0.00033740434175165315,0.045030613486177304,0.0023868493506741186,0.172427184591969,0.10488454262106163,5.320613128497133e-05,0.1392302780414418,0.022606363663753612,0.00047487560425383635,0.0004982963953131007,0.007944065109971617,0.016873564709216388,0.012308807314409106,0.04665654395901172,0.0001511686346625996,0.10936016220830606,0.003092378278871263,1.1122494905597853e-06,0.2578514929298141,1.0559527566957868e-05,0.041824247537747376
1995-01-01,0.016239078270709435,0.00031985247319601365,0.04481870191698358,0.0023986643394345664,0.17206244027160505,0.10533366610248927,4.8982283229336244e-05,0.1418704545701255,0.022408362013682397,0.0004642959512575218,0.000495336563875169,0.007904827523252377,0.016704645242080884,0.01252443736517209,0.047936407590879575,0.00014809756748662402,0.10654545936909508,0.0030531169673277754,1.013976657610997e-06,0.25721610956423524,1.0373459427744338e-05,0.04149567661779709
1996-01-01,0.0163403511678159,0.0003120442425985019,0.04452012993967886,0.0024522736955194095,0.17169481702422604,0.10704428296225871,4.672969030212933e-05,0.14504381546922596,0.022140532761297998,0.0004597652964873764,0.0004977295700684089,0.007913983415688889,0.01649775504359022,0.01281748070344254,0.047853500711449865,0.00014662540032677303,0.10361467254897196,0.0030327739537284013,9.288868457259885e-07,0.25643707078878697,1.0243165581440384e-05,0.04112249356210784
1997-01-01,0.016411519171451203,0.000309094651411485,0.04425867152948862,0.0025232801247611057,0.1711228029962787,0.10921593515956493,4.5226368479549394e-05,0.14827604636281705,0.021820927846136783,0.0004537973880576758,0.0004980908971828625,0.007977169599336592,0.016242988319968257,0.013223120164524198,0.04768525539084456,0.00014513142439654281,0.10074510399503973,0.002969131654830019,8.443219019510796e-07,0.255430286297839,1.0023272016395273e-05,0.04063555306367274
1998-01-01,0.016459363789464495,0.0003055414623444207,0.043927254083902016,0.0025838062440741677,0.17025964882495287,0.11164970992291791,4.370442890743719e-05,0.15100871300172755,0.02139584411808233,0.0004449662550933063,0.0004946871642832272,0.008061011071424309,0.01594692551129661,0.01365882762411035,0.048858563160555826,0.00014348396170125568,0.0979503823876988,0.0028620608717566907,7.619304551944036e-07,0.2539271880109815,9.590938591578924e-06,0.04000796523567823
1999-01-01,0.016505827040347098,0.00028925134897644895,0.043343924964057964,0.002625528163858692,0.16910723673757033,0.11414625017350125,4.0630685891639196e-05,0.153591511763885,0.020918409157292133,0.00043883705316910147,0.0004943804899458997,0.008192263959726954,0.015700700219498702,0.014067924099337279,0.050812336502207164,0.00014123080433632592,0.09568175678635794,0.0027586525211332966,6.913873647618375e-07,0.25182300837586424,9.10714419774442e-06,0.039310540621480025
2000-01-01,0.016380897782898696,0.0002815303567996158,0.042569115758030934,0.0026426437236551693,0.16737905105540138,0.11646002936477497,3.8777878132684655e-05,0.15647024958459477,0.02051446392503854,0.0004395192063975266,0.0005027682393478144,0.008276116720683896,0.015529023320009907,0.014399211423435742,0.053192003028287596,0.00013891439079384742,0.09312695973643771,0.0027109490587388725,6.498765161043237e-07,0.25030358918516743,8.766576917041578e-06,0.038634769807939826
