date,La 1,Antena 3,Telecinco,Cuatro,La Sexta,La 2,Clan,24 horas,TDP,Neox,Nova,Mega,Atreseries,FDF,Divinity,Energy,Boing,Be Mad,Trece,Paramount Network,Disney Channel,Ten,DKISS,RM TV
2022-01-01,0.17823129251700687,0.18367346938775517,0.12925170068027217,0.08979591836734697,0.05850340136054424,0.04489795918367349,0.010884353741496603,0.012244897959183678,0.0068027210884353765,0.02585034013605443,0.02585034013605443,0.01768707482993198,0.019047619047619053,0.032653061224489806,0.021768707482993206,0.02993197278911566,0.012244897959183678,0.010884353741496603,0.028571428571428584,0.028571428571428584,0.008163265306122451,0.0068027210884353765,0.010884353741496603,0.0068027210884353765
2022-01-02,0.1324786324786325,0.16381766381766386,0.14814814814814817,0.08404558404558407,0.06837606837606838,0.047008547008547015,0.014245014245014247,0.014245014245014247,0.0071225071225071235,0.03133903133903135,0.02421652421652422,0.02136752136752137,0.019943019943019946,0.04273504273504274,0.02421652421652422,0.025641025641025647,0.014245014245014247,0.012820512820512824,0.041310541310541314,0.02991452991452992,0.009971509971509973,0.0071225071225071235,0.011396011396011398,0.004273504273504274
2022-01-03,0.11432325886990803,0.18922470433639954,0.16951379763469124,0.06438896189224706,0.08935611038107755,0.039421813403416564,0.013140604467805522,0.010512483574244419,0.007884362680683312,0.026281208935611044,0.03547963206307491,0.019710906701708282,0.022339027595269387,0.028909329829172152,0.0275952693823916,0.0302233902759527,0.015768725361366625,0.009198423127463865,0.0302233902759527,0.022339027595269387,0.007884362680683312,0.007884362680683312,0.014454664914586076,0.003942181340341656
2022-01-04,0.11184210526315794,0.17368421052631586,0.1763157894736843,0.0592105263157895,0.08421052631578951,0.04078947368421054,0.01578947368421053,0.009210526315789476,0.006578947368421055,0.027631578947368434,0.036842105263157905,0.0236842105263158,0.019736842105263164,0.03815789473684212,0.02631578947368422,0.03026315789473685,0.017105263157894745,0.009210526315789476,0.027631578947368434,0.02631578947368422,0.006578947368421055,0.007894736842105265,0.017105263157894745,0.007894736842105265
2022-01-05,0.11424731182795698,0.17741935483870966,0.16666666666666666,0.06317204301075269,0.08602150537634408,0.041666666666666664,0.016129032258064516,0.01075268817204301,0.006720430107526881,0.03225806451612903,0.03494623655913978,0.018817204301075266,0.022849462365591395,0.036290322580645164,0.030913978494623653,0.02956989247311828,0.013440860215053762,0.01075268817204301,0.02553763440860215,0.020161290322580645,0.008064516129032258,0.012096774193548387,0.01747311827956989,0.004032258064516129
2022-01-06,0.16443850267379678,0.16443850267379678,0.12433155080213903,0.07085561497326202,0.06684491978609625,0.04545454545454545,0.012032085561497324,0.0160427807486631,0.006684491978609625,0.04144385026737967,0.028074866310160426,0.017379679144385023,0.022727272727272724,0.0320855614973262,0.029411764705882353,0.0320855614973262,0.0106951871657754,0.014705882352941176,0.0320855614973262,0.030748663101604273,0.006684491978609625,0.012032085561497324,0.01336898395721925,0.0053475935828877
2022-01-07,0.09920634920634921,0.20105820105820107,0.16005291005291006,0.05820105820105821,0.09126984126984128,0.04497354497354498,0.015873015873015872,0.009259259259259259,0.006613756613756614,0.029100529100529106,0.038359788359788365,0.015873015873015872,0.02248677248677249,0.033068783068783074,0.02777777777777778,0.02777777777777778,0.014550264550264553,0.009259259259259259,0.02777777777777778,0.02248677248677249,0.009259259259259259,0.009259259259259259,0.019841269841269844,0.006613756613756614
2022-01-08,0.11739745403111743,0.1640735502121641,0.1626591230551627,0.0678925035360679,0.08628005657708629,0.031117397454031123,0.01838755304101839,0.012729844413012732,0.0070721357850070735,0.04667609618104668,0.025459688826025464,0.02121640735502122,0.022630834512022635,0.039603960396039604,0.022630834512022635,0.03394625176803395,0.014144271570014147,0.011315417256011318,0.02970297029702971,0.026874115983026876,0.011315417256011318,0.0070721357850070735,0.012729844413012732,0.0070721357850070735
2022-01-09,0.1361111111111111,0.16111111111111107,0.16111111111111107,0.07499999999999998,0.06527777777777777,0.04999999999999999,0.012499999999999997,0.012499999999999997,0.005555555555555555,0.04305555555555555,0.02222222222222222,0.024999999999999994,0.027777777777777773,0.03749999999999999,0.019444444444444438,0.03055555555555555,0.012499999999999997,0.012499999999999997,0.03055555555555555,0.024999999999999994,0.008333333333333331,0.006944444444444443,0.013888888888888886,0.005555555555555555
2022-01-10,0.1176470588235294,0.18954248366013068,0.1725490196078431,0.07058823529411763,0.09673202614379084,0.045751633986928095,0.009150326797385618,0.01045751633986928,0.00522875816993464,0.02352941176470588,0.03398692810457516,0.018300653594771236,0.022222222222222216,0.031372549019607836,0.024836601307189538,0.026143790849673196,0.01176470588235294,0.007843137254901959,0.02875816993464052,0.018300653594771236,0.00522875816993464,0.009150326797385618,0.01437908496732026,0.006535947712418299
